PR00001	SUP002	2025-06-03T17:49:25.454139900	2025-06-10	DELETED	AD001	AD001
PR00002	SUP001	2025-06-03T17:54:21.267448700	2025-07-12	POGENERATED	AD001	AD001
PR00003	SUP004	2025-06-07T12:31:20.888711900	2025-07-08	POGENERATED	AD001	AD001
PR00004	SUP005	2025-06-07T13:24:51.652493500	2025-09-01	POGENERATED	AD001	AD001
PR00005	SUP003	2025-06-08T16:44:47.286500400	2025-08-13	POGENERATED	AD001	AD001
PR00006	SUP006	2025-06-08T16:45:35.069766500	2025-08-17	POGENERATED	AD001	AD001
PR00007	SUP001	2025-06-08T16:46:41.564832300	2025-07-29	POGENERATED	AD001	AD001
PR00008	SUP002	2025-06-08T16:47:21.616884100	2025-10-20	REJECTED	AD001	AD001
PR00009	SUP004	2025-06-08T16:47:53.679857200	2025-07-02	POGENERATED	AD001	AD001
PR00010	SUP005	2025-06-08T16:48:35.104658500	2025-11-02	NEW	AD001	None
PR00011	SUP003	2025-06-08T16:50:42.373868500	2026-01-06	NEW	AD001	None
PR00012	SUP006	2025-06-08T16:51:09.991954600	2025-12-20	POGENERATED	AD001	AD001
PR00013	SUP004	2025-06-08T16:51:45.599000900	2026-03-28	NEW	AD001	AD001
PR00014	SUP002	2025-06-08T16:53:51.173061300	2025-11-17	REJECTED	AD001	AD001
